T,H,P
23.55,58.91,30.96
23.5,59.2,31.39
23.54,58.92,31.09
23.51,59.2,31.46
23.44,59.3,31.28
23.4,59.13,30.91
23.44,59.4,30.83
23.44,58.98,31.05
23.4,59.1,31.28
23.45,58.93,30.87
23.45,59.1,30.89
23.39,58.9,30.9
23.33,59.7,31.03
23.32,59.11,31.2
23.37,59.6,31.26
23.34,59.3,30.66
23.42,58.82,30.96
23.31,58.87,31.02
23.34,58.93,31.11
23.4,58.67,30.72
23.41,58.65,31.25
23.45,58.59,31.34
23.45,58.47,31.04
23.47,58.7,30.83
23.39,58.4,31.52
23.28,58.58,30.88
23.19,58.77,30.86
23.16,58.87,30.27
23.2,58.87,31.27
23.25,58.63,30.81
23.28,58.44,30.59
23.24,58.53,31.07
23.24,58.48,30.91
23.3,58.25,30.76
23.31,58.18,30.74
23.29,58.15,30.84
23.23,58.26,31.21
23.21,58.2,30.9
23.2,58.25,31.04
23.16,58.29,30.78
23.1,58.36,31.14
23.15,58.34,31.46
23.15,58.25,31.07
23.13,58.31,31.58
23.13,58.3,31.46
23.15,58.24,31.04
23.16,58.22,30.96
23.19,58.14,30.86
23.18,58.9,30.86
23.18,57.97,30.88
23.14,57.91,30.55
23.1,57.97,31.01
23.4,57.95,30.66
22.94,58.2,30.92
22.99,58.1,31.06
23.3,57.95,30.97
23.1,57.93,30.96
23,57.94,30.69
23.7,58.15,2.46
23.16,58.37,0
23.29,58.45,0
23.44,58.21,0
23.6,58.26,0
23.76,57.96,0
23.9,57.79,0
24.3,57.58,0
24.18,57.69,0
24.35,57.6,0
24.49,57.43,0
24.65,57.28,0
24.78,57.19,0
24.93,57.8,0
25.6,56.89,0
25.19,56.69,0
25.31,56.7,0
25.43,56.7,0
25.53,56.64,0
25.64,56.6,0
25.76,56.59,0
25.88,56.67,0
25.99,56.44,0
26.8,56.32,0
26.18,56.51,0
26.24,55.87,0
26.28,56.22,0
26.33,56.48,0
26.38,56.62,0
26.42,56.78,0
26.48,56.82,0
26.52,56.88,0
26.53,57.9,0
26.6,57.11,0
26.65,57.8,0
26.7,57.14,0
26.74,57.25,0
26.77,57.4,0
26.82,57.42,0
26.86,57.52,0
26.94,57.62,0
26.96,57.71,0
27.4,57.73,0
27.7,57.78,0
27.13,57.76,0
27.16,57.86,0
27.19,57.94,0
27.24,57.94,0
27.28,57.97,0
27.31,58.3,0
27.37,58.4,0
27.41,58.9,0
27.47,58.14,0
27.49,58.28,0
27.54,58.29,0
27.58,58.28,0
27.62,58.25,0
27.68,58.2,0
27.7,58.33,0
27.73,58.28,0
27.77,58.31,0
27.79,58.42,0
27.81,58.49,0
27.85,58.63,0
27.89,58.59,0
27.88,58.75,0
27.91,58.86,0
27.96,58.84,0
27.97,59.2,0
28,59.14,0
28.3,59.52,0
28.7,59.48,0
28.1,59.57,0
28.12,59.65,0
28.15,59.74,0
28.18,59.92,0
28.22,59.89,0
28.22,60.2,0
28.24,60,0
28.26,60.3,0
28.3,60.6,0
28.33,60.7,0
28.34,60.9,0
28.36,60.13,0
28.4,60.14,0
28.4,60.26,0
28.43,60.3,0
28.47,60.39,0
28.45,60.62,0
28.39,61.63,4.09
28.31,62.75,9.49
28.16,63.48,15.4
28.2,63.77,15.26
28,63.65,26.73
27.99,63.19,32.85
27.86,62.49,32.67
27.7,62.2,32.86
27.54,61.59,32.98
27.43,61.33,33.09
27.27,61.15,32.86
27.12,60.87,32.56
26.95,60.62,32.63
26.93,60.23,32.84
26.81,60.12,32.72
26.77,59.74,32.51
26.68,59.57,32.71
26.64,59.23,31.91
26.53,59,32.51
26.41,59.8,32.18
26.31,59.37,32.23
26.21,58.82,32.45
26.9,58.97,31.48
26.4,58.69,31.73
25.96,58.45,32.26
25.87,58.46,32.07
25.79,58.14,31.92
25.69,57.95,32.17
25.58,58.13,31.64
25.53,58.4,32.52
25.46,58,31.91
25.38,58.18,32.51
25.32,58.8,31.48
25.27,57.95,31.52
25.22,57.85,31.87
25.16,57.85,31.92
25.8,57.79,32.14
25.1,57.88,31.63
24.97,57.87,32.19
24.97,57.81,32.31
24.91,57.79,31.69
24.83,57.85,31.8
24.72,57.99,31.51
24.66,57.95,31.99
24.62,58.7,31.83
24.55,58.1,31.61
24.42,58.16,31.64
24.33,58.29,32.27
24.29,58.3,31.5
24.35,58.19,31.47
24.35,57.99,31.22
24.23,58.7,31.76
24.16,58.13,31.55
24.14,58.1,31.66
24.8,57.99,31.69
24.1,58.21,31.23
24.2,57.94,31.18
24.2,57.87,31.73
23.99,57.76,31.35
23.89,57.98,31.71
23.86,58.6,31.31
23.86,57.98,31.95
23.92,58.9,31.28
24,57.73,31.47
24.4,57.55,31.5
24.2,57.39,31.88
24.1,57.3,31.71
24,57.13,31.63
24,57.52,31.64
23.95,57.33,31.48
23.91,57.4,31.01
23.89,57.18,31.45
23.84,57.6,31.23
23.79,57.79,31.41
23.8,57.79,31.75
23.78,57.89,31.59
23.82,57.61,30.93
23.82,57.53,31.54
23.79,57.58,31.37
23.78,57.52,31.66
23.75,57.48,31.49
23.7,57.48,31.98
23.72,57.83,31.29
23.72,57.83,31.08
23.72,57.4,31.68
23.72,57.13,30.87
23.67,57,31.67
23.46,57.46,31.75
23.4,57.59,31.73
23.41,57.75,31.47
23.42,57.58,31.48
23.28,57.72,31.02
23.17,57.96,31.88
23.1,58.8,31.37
23.3,58.23,31.24
23.11,58.12,31.43
23.21,58.12,31.59
23.22,57.76,31.33
23.25,57.94,31.4
23.33,57.86,31.41
23.38,57.38,31.83
23.39,57.25,31.21
23.37,57.26,31.58
23.38,56.95,31.24
23.28,57.16,31.43
23.25,57.6,30.85
23.2,57.8,30.89
23.9,57.18,31.11
22.99,57.43,31.5
23.1,57.27,31.53
22.92,57.48,30.58
22.95,57.54,31.76
23.4,57.38,31.51
22.95,57.39,31.18
23.1,57.39,31.07
23.5,57.22,31.44
23.7,57.13,31.55
23.11,57.1,31.21
23.9,56.86,31.47
22.97,57.13,31.17
22.83,57.56,31.53
22.82,57.69,30.88
22.89,57.7,31.73
22.96,57.41,31.32
23,57.3,30.79
23,57.25,31.09
22.99,57.23,31.55
23,57.2,31.44
22.99,57.19,31.04
22.97,57.27,31.37
22.95,57.38,31.37
22.92,57.55,31.04
22.92,57.49,31.34
22.89,57.61,30.97
22.89,57.49,31.13
22.91,57.33,30.61
22.92,57.21,31.21
22.91,57.13,31.24
22.81,57.34,31.5
22.75,57.57,31.01
22.74,57.48,30.61
22.8,57.35,31.11
22.83,57.11,31.51
22.84,57.25,31.22
22.83,57.8,31.21
22.79,57.26,30.82
22.76,57.4,31.28
22.8,57.15,31.15
22.78,57.22,30.65
22.76,57.39,31.31
22.73,57.57,31.38
22.74,57.41,31.02
22.74,57.45,30.93
22.63,57.77,30.51
22.55,57.92,31.06
22.61,57.82,31.57
22.57,58,31.02
22.57,58.2,30.93
22.59,57.97,31.39
22.58,57.97,31.55
22.6,57.9,31.23
22.62,57.8,30.58
22.62,57.73,31.06
22.63,57.67,30.6
22.65,57.64,31.15
22.65,57.52,31.46
22.66,57.65,30.96
22.69,57.33,31.26
22.63,57.44,31.07
22.6,57.46,31.36
22.52,57.56,30.82
22.48,57.86,31.67
22.49,57.68,31.32
22.46,57.77,31.25
22.4,57.9,31.67
22.43,57.78,31.15
22.46,57.75,30.76
22.39,57.81,31.33
22.34,57.94,30.48
22.41,57.69,31.28
22.39,57.58,30.74
22.37,57.56,31.02
22.37,57.64,30.33
22.37,57.55,30.41
22.43,57.48,31.34
22.49,57.34,30.89
22.52,57.24,30.88
22.54,57.2,31.06
22.56,57.13,31.13
22.54,57.9,31.29
22.54,57.7,30.9
22.55,57.3,31.09
22.55,57,31.03
22.54,56.96,30.89
22.52,57.16,31.28
22.56,57.12,31.26
22.57,57.2,31.13
22.58,57.2,30.89
22.54,57,31.3
22.51,57,31.45
22.48,57.17,31.26
22.49,57.11,30.71
22.48,57.19,31.27
22.48,57.23,30.85
22.46,57.31,31.17
22.46,57.21,31.18
22.42,57.27,31.04
22.44,57.3,31.23
22.44,57.22,30.67
22.41,57.14,30.99
22.5,57.32,2.67
22.62,57.38,0
22.75,57.41,0
22.89,57.32,0
23.4,57.17,0
23.19,56.97,0
23.34,56.89,0
23.49,56.79,0
23.64,56.63,0
23.78,56.5,0
23.91,56.32,0
24.4,56.6,0
24.17,55.6,0
24.33,55.54,0
24.46,55.42,0
24.56,55.18,0
24.68,54.86,0
24.8,55.1,0
24.91,54.63,0
25,54.71,0
25.1,54.57,0
25.21,54.47,0
25.32,54.47,0
25.42,54.59,0
25.48,54.44,0
25.58,54.31,0
25.67,54.25,0
25.76,54.32,0
25.83,54.29,0
25.9,54.31,0
25.98,54.24,0
26.5,54.25,0
26.11,54.5,0
26.17,54.15,0
26.25,54.14,0
26.31,54.15,0
26.36,54.2,0
26.42,54,0
26.47,53.91,0
26.52,53.91,0
26.57,54.15,0
26.62,53.99,0
26.66,54.13,0
26.71,54.2,0
26.76,54.22,0
26.8,54.23,0
26.86,54.15,0
26.9,54.2,0
26.95,54.14,0
26.99,54.14,0
27.4,54.18,0
27.7,54.16,0
27.13,54.16,0
27.16,54.21,0
27.21,54.12,0
27.25,54.1,0
27.29,54,0
27.33,53.99,0
27.36,53.99,0
27.39,54,0
27.45,54.15,0
27.47,54.22,0
27.51,54.34,0
27.53,54.28,0
27.57,54.37,0
27.62,54.36,0
27.63,54.44,0
27.66,54.42,0
27.68,54.42,0
27.71,54.34,0
27.74,54.22,0
27.75,54.2,0
27.78,54.16,0
27.79,54.15,0
27.83,54.26,0
27.83,54.28,0
27.87,54.34,0
27.88,54.39,0
27.89,54.36,0
27.92,54.49,0
27.94,54.56,0
27.95,54.42,0
27.97,54.47,0
27.99,54.44,0
28,54.43,0
28.4,54.39,0
28.5,54.36,0
28.7,54.38,0
28.9,54.34,0
28.11,54.36,0
28.12,54.4,0
28.15,54.44,0
28.16,54.5,0
28.19,54.61,0
28.22,54.63,0
28.24,54.65,0
28.25,54.65,0
28.27,54.63,0
28.29,54.72,0
28.29,54.72,0
28.31,54.74,0
28.33,54.77,0
28.35,54.68,0
28.35,54.66,0
28.37,54.71,0
28.39,54.77,0
28.39,54.79,0
28.39,54.74,0
28.41,54.76,0
28.42,54.67,0
28.43,54.7,0
28.43,54.71,0
28.45,54.66,0
28.46,54.64,0
28.46,54.62,0
28.47,54.85,0
28.49,54.8,0
28.48,54.85,0
28.51,54.8,0
28.52,54.84,0
28.54,55.16,0
28.56,55.6,0
28.57,55.12,0
28.58,55.4,0
28.59,55.12,0
28.59,55.14,0
28.6,55.44,0
28.61,55.38,0
28.62,55.3,0
28.63,55.28,0
28.63,55.32,0
28.63,55.33,0
28.64,55.29,0
28.64,55.31,0
28.64,55.33,0
28.64,55.35,0
28.65,55.37,0
28.66,55.43,0
28.66,55.39,0
28.67,55.54,0
28.67,55.41,0
28.68,55.37,0
28.69,55.35,0
28.68,55.36,0
28.7,55.35,0
28.7,55.37,0
28.71,55.3,0
28.72,55.34,0
28.73,55.36,0
28.74,55.33,0
28.74,55.36,0
28.75,55.34,0
28.75,55.34,0
28.77,55.33,0
28.76,55.37,0
28.75,55.41,0
28.76,55.43,0
28.75,55.5,0
28.77,55.47,0
28.77,55.53,0
28.79,55.51,0
28.8,55.53,0
28.8,55.55,0
28.81,55.64,0
28.81,55.72,0
28.82,55.78,0
28.83,55.79,0
28.83,55.82,0
28.83,55.82,0
28.84,56.8,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
,,0
30.32,54.14,0
30.34,54.11,0
30.3,54.15,0
30.2,54.36,0
30.7,54.7,0
29.98,54.98,0
29.86,55.2,0
29.77,55.45,0
29.7,55.61,0
29.62,55.72,0
29.58,55.9,0
29.53,55.98,0
29.47,56.3,0
29.45,56.34,0
29.41,56.24,0
29.38,56.51,0
29.34,56.57,0
29.34,56.8,0
29.32,56.9,0
29.29,56.87,0
29.28,57.6,0
29.28,57.5,0
29.27,56.91,0
29.26,56.87,0
29.24,56.8,0
29.22,56.84,0
29.22,56.82,0
29.21,56.84,0
29.2,56.83,0
29.18,56.86,0
29.17,56.88,0
29.16,56.89,0
29.14,56.93,0
29.13,56.96,0
29.12,56.97,0
29.12,57.1,0
29.11,57,0
29.9,57.6,0
29.8,57.9,0
29.8,57.14,0
29.6,57.13,0
29.5,57.18,0
29.4,57.2,0
29.2,57.22,0
29.2,57.24,0
29.1,57.3,0
29,57.33,0
28.99,57.37,0
28.99,57.33,0
29.1,57.36,0
28.99,57.37,0
28.99,57.42,0
28.98,57.45,0
28.97,57.45,0
28.98,57.47,0
28.97,57.49,0
28.94,57.54,0
28.96,57.54,0
28.94,57.56,0
28.94,57.59,0
28.93,57.62,0
28.92,57.59,0
28.92,57.65,0
28.9,57.67,0
28.9,57.71,0
28.88,57.75,0
28.88,57.8,0
28.87,57.82,0
28.86,57.81,0
28.85,57.86,0
28.85,57.86,0
28.83,57.96,0
28.83,58.2,0
28.82,58.2,0
28.83,58.2,0
28.83,58.3,0
28.83,58.2,0
28.82,58.1,0
28.82,58.6,0
28.82,58.6,0
28.82,58.14,0
28.81,58.15,0
28.8,58.17,0
28.81,58.18,0
28.8,58.2,0
28.78,58.23,0
28.79,58.24,0
28.77,58.28,0
28.78,58.31,0
28.77,58.3,0
28.78,58.38,0
28.76,58.42,0
28.76,58.4,0
28.76,58.52,0
28.75,58.51,0
28.74,58.52,0
28.75,58.55,0
28.75,58.55,0
28.74,58.59,0
28.73,58.61,0
28.72,58.64,0
28.73,58.65,0
28.73,58.67,0
28.73,58.71,0
28.72,58.7,0
28.71,58.73,0
