PCA1,PCA2,PCA3,Power
-409.4735481,-18.39577999,3.163389362,0.000133333
-409.0351367,-18.37271462,3.096072076,0.0002
-409.3059894,-18.43036726,2.992631323,0.000733333
-409.3669808,-18.45287353,3.034033286,-0.000266667
-408.3154502,-17.84892596,3.401251725,-3.33E-05
-408.431511,-18.15729352,3.051813028,0.000833333
-408.3396356,-17.97668,3.029610058,6.67E-05
-408.3291742,-18.03144759,2.902592317,0.000733333
-408.504093,-18.08211599,3.325802055,0.000466667
-409.2121804,-18.4732662,3.120673084,0.0005
-409.1841192,-18.42759955,3.010558789,0.000166667
-408.8679679,-18.32855381,3.075691337,0.000466667
-408.2119508,-18.08657251,3.186881753,0.000466667
-408.6571585,-18.32915877,3.164367926,0.0002
-408.4126678,-17.96963194,3.498031154,0.0008
-408.3462191,-17.92713119,3.31662279,0.000333333
-408.178693,-17.73985491,3.458284793,0.000733333
-408.356752,-17.82777871,3.416944588,0.000133333
-407.8364655,-17.44629209,3.591002994,0.000133333
-407.5755609,-17.48297799,3.578042996,0.000533333
-407.6647369,-17.31273773,3.371632887,6.67E-05
-407.3120334,-17.18665791,3.171000213,0.0006
-407.1060598,-17.11797094,3.356955213,-0.0002
-406.6106346,-16.63672902,3.629101665,0.000466667
-407.5148704,-17.44970616,3.208720215,0.0006
-407.1815367,-17.09664072,3.5674695,0.001066667
-407.0165997,-17.07438521,3.710351782,0.000833333
-407.9994308,-17.7442817,3.36583384,0.000366667
-408.4613155,-18.05068616,3.065533131,0.000933333
-408.4107068,-17.87898944,3.595834737,0.000733333
-408.2121588,-17.80697842,3.616162855,0.000333333
-407.7250019,-17.4768722,4.106505537,0.000266667
-407.6601793,-17.43576337,3.964139473,0.0002
-408.5972516,-18.2263452,3.392988799,0.000566667
-408.2417556,-17.85734651,3.524562103,0.0005
-408.3531788,-18.02827451,3.154023026,0.000466667
-408.7904842,-18.34031169,2.742289534,0.0001
-409.070969,-18.47574167,3.037884491,0.0005
-409.4287621,-18.57369968,3.131328087,0.000466667
-409.616042,-18.58205543,3.3142011,0.0008
-409.3532806,-18.4350102,3.626058448,0.0006
-409.3989645,-18.50606552,3.445561384,0.000266667
-409.6606738,-18.52290897,3.405907163,0.000733333
-409.2535941,-18.4854451,3.315579399,0.000366667
-409.0829642,-18.43814906,3.221216833,0.000233333
-408.5712639,-18.12359018,3.404097084,0.0002
-408.5781559,-18.23313993,3.0856228,0.000466667
-408.0192361,-17.91898257,3.281952157,0.000733333
-408.033616,-17.83419646,3.459150934,0
-407.5917552,-17.46938118,3.974925602,0.0006
-407.8293549,-17.68926947,3.722612031,7.28E-12
-408.0701687,-17.83464336,3.431823672,0.000466667
-408.0468265,-17.79991729,3.259137987,0.000266667
-407.5194654,-17.56073206,3.410527315,0.001066667
-407.3872416,-17.46794974,3.167812521,0.0006
-407.7371104,-17.61312461,3.358919528,-0.000333333
-408.1623391,-18.0243534,3.160805828,0.0002
-408.2677664,-17.99319251,3.243679478,-2.91E-11
-408.524366,-18.21664921,3.110690581,6.67E-05
-408.4374874,-18.05653629,3.414741916,0.000333333
-408.2813585,-17.93787013,3.660976502,0.000366667
-408.7712351,-18.30769916,3.398852144,0.0003
-408.9038618,-18.32296374,3.363364225,0.000266667
-407.5852372,-17.41788967,3.758842517,0.000466667
-407.5095757,-17.45805525,3.387206549,0.000466667
-408.369654,-18.0491051,3.368969446,0.000333333
-409.3345318,-18.60574431,3.034626196,0.0006
-409.798828,-18.63326713,3.048139947,0.0004
-409.8204116,-18.64038767,3.281303129,0.000266667
-409.6940693,-18.65472022,3.100276177,0.000466667
-409.1909801,-18.53607954,2.760288689,0.0004
-408.3209599,-18.02997876,3.273613198,0.000266667
-408.5232746,-18.50708127,2.830484924,0.0004
-408.7811642,-18.36750128,3.417070812,0.000566667
-409.2929014,-18.51888919,3.386886971,0.000566667
-409.7175896,-18.65356684,3.318121366,0.000733333
-409.4813578,-18.50378991,3.38559075,-2.91E-11
-409.017936,-18.36634633,3.439716533,0.000733333
-409.0594052,-18.26991367,3.769062211,6.67E-05
-409.1475035,-18.4171306,3.622901647,0.000333333
-409.2807193,-18.59225422,3.164213757,0.000733333
